0,2
1,10
2,24
3,44
4,70
5,102
6,140
7,184
8,234
9,290
10,352
11,420
12,494
13,574
14,660
15,752
16,850
17,954
18,1064
19,1180
20,1302
21,1430
22,1564
23,1704
24,1850
25,2002
26,2160
27,2324
28,2494
29,2670
30,2852
31,3040
32,3234
33,3434
34,3640
35,3852
36,4070
37,4294
38,4524
39,4760
40,5002
41,5250
42,5504
43,5764
44,6030
45,6302
46,6580
47,6864
48,7154
49,7450
50,7752
51,8060
52,8374
53,8694
54,9020
55,9352
56,9690
57,10034
58,10384
59,10740
60,11102
61,11470
62,11844
63,12224
64,12610
65,13002
66,13400
67,13804
68,14214
69,14630
70,15052
71,15480
72,15914
73,16354
74,16800
75,17252
76,17710
77,18174
78,18644
79,19120
80,19602
81,20090
82,20584
83,21084
84,21590
85,22102
86,22620
87,23144
88,23674
89,24210
90,24752
91,25300
92,25854
93,26414
94,26980
95,27552
96,28130
97,28714
98,29304
99,29900
100,30502
101,31110
102,31724
103,32344
104,32970
105,33602
106,34240
107,34884
108,35534
109,36190
110,36852
111,37520
112,38194
113,38874
114,39560
115,40252
116,40950
117,41654
118,42364
119,43080
120,43802
121,44530
122,45264
123,46004
124,46750
125,47502
126,48260
127,49024
128,49794
129,50570
130,51352
131,52140
132,52934
133,53734
134,54540
135,55352
136,56170
137,56994
138,57824
139,58660
140,59502
141,60350
142,61204
143,62064
144,62930
145,63802
146,64680
147,65564
148,66454
149,67350
150,68252
151,69160
152,70074
153,70994
154,71920
155,72852
156,73790
157,74734
158,75684
159,76640
160,77602
161,78570
162,79544
163,80524
164,81510
165,82502
166,83500
167,84504
168,85514
169,86530
170,87552
171,88580
172,89614
173,90654
174,91700
175,92752
176,93810
177,94874
178,95944
179,97020
180,98102
181,99190
182,100284
183,101384
184,102490
185,103602
186,104720
187,105844
188,106974
189,108110
190,109252
191,110400
192,111554
193,112714
194,113880
195,115052
196,116230
197,117414
198,118604
199,119800
200,121002
